100 2375
39 80 213
39 81 8
39 82 694
39 83 593
39 84 782
39 85 47
39 86 705
39 87 200
39 89 355
39 90 45
39 91 853
39 92 446
39 93 590
39 94 174
39 96 646
39 97 493
39 99 359
40 41 533
40 42 340
40 43 642
40 46 939
40 47 784
40 48 822
40 49 341
40 50 423
40 52 105
40 55 663
40 56 891
40 57 213
40 59 592
40 60 143
40 61 8
40 63 421
40 64 476
40 65 412
40 66 951
40 68 108
40 69 365
40 70 478
40 72 112
40 73 506
40 74 746
40 75 795
40 77 625
40 78 247
40 79 544
40 81 269
40 82 704
40 84 338
40 85 738
40 86 762
40 87 631
40 88 221
40 89 787
40 91 891
40 92 689
40 93 541
40 95 985
40 97 926
40 98 668
41 42 410
41 44 274
41 45 390
41 46 139
41 47 265
41 51 747
41 52 399
41 53 717
41 54 692
41 56 416
41 57 399
41 58 539
41 59 272
41 60 428
41 63 315
41 64 33
41 65 780
41 66 754
41 67 366
41 68 976
41 69 854
41 72 683
41 74 892
41 75 547
41 76 997
41 77 173
41 78 509
41 81 590
41 83 257
41 84 224
41 86 129
41 87 259
41 88 132
41 90 53
41 91 859
41 92 72
41 94 903
41 95 383
41 96 738
41 97 945
41 99 803
42 43 585
42 44 819
42 45 688
42 49 270
42 50 413
42 51 165
42 52 583
42 53 395
42 56 418
42 58 95
42 59 51
42 61 230
42 64 151
42 65 544
42 68 810
42 69 673
42 70 699
42 71 290
42 72 980
42 74 642
42 75 492
42 76 568
42 78 199
42 79 203
42 81 275
42 83 299
42 84 750
42 85 118
42 86 862
42 87 257
42 89 26
42 90 550
42 91 445
42 93 344
42 95 570
42 96 253
42 97 324
42 98 631
42 99 252
43 44 334
43 45 738
43 46 639
43 47 855
43 48 338
43 49 902
43 50 338
43 51 266
43 52 36
43 53 911
43 56 283
43 57 924
43 58 195
43 59 224
43 61 718
43 62 795
43 63 11
43 64 342
43 66 592
43 68 625
43 69 327
43 70 834
43 71 988
43 75 322
43 76 555
43 77 969
43 78 277
43 79 808
43 80 809
43 81 743
43 82 192
43 83 853
43 84 501
43 86 32
43 90 417
43 91 873
43 92 932
43 93 780
43 94 87
43 95 943
43 96 592
43 97 544
43 98 130
43 99 906
44 45 442
44 46 316
44 47 281
44 48 261
44 49 332
44 50 844
44 51 867
44 52 556
44 53 344
44 54 172
44 57 447
44 59 230
44 60 281
44 63 852
44 65 392
44 67 955
44 68 253
44 70 391
44 71 585
44 72 827
44 73 238
44 76 269
44 77 585
44 78 895
44 80 363
44 81 928
44 82 372
44 83 271
44 84 301
44 85 116
44 86 221
44 87 689
44 88 256
44 89 42
44 90 245
44 91 317
44 92 589
44 93 158
44 94 79
44 97 737
44 98 723
44 99 379
45 47 497
45 48 696
45 49 743
45 50 947
45 51 376
45 52 444
45 53 429
45 54 750
45 56 386
45 58 801
45 60 270
45 61 942
45 62 107
45 63 391
45 65 856
45 66 657
45 67 777
45 69 841
45 71 303
45 72 24
45 74 345
45 75 161
45 78 801
45 80 327
45 81 299
45 82 160
45 84 368
45 85 468
45 87 702
45 89 432
45 90 842
45 91 745
45 93 237
45 94 589
45 95 989
45 96 944
45 97 550
45 98 862
45 99 851
46 47 384
46 50 691
46 51 837
46 53 805
46 54 975
46 56 31
46 57 566
46 58 324
46 60 104
46 62 698
46 64 182
46 65 70
46 67 350
46 70 430
46 72 830
46 73 950
46 74 127
46 75 62
46 76 647
46 77 806
46 78 33
46 80 113
46 81 987
46 82 163
46 83 165
46 84 704
46 85 344
46 86 491
46 87 667
46 88 500
46 89 89
46 90 752
46 91 800
46 92 434
46 95 185
46 96 911
46 99 826
47 49 288
47 50 159
47 51 201
47 52 334
47 53 326
47 55 388
47 60 980
47 61 92
47 62 542
47 63 352
47 65 814
47 66 722
47 67 718
47 68 648
47 71 638
47 72 236
47 73 786
47 74 658
47 75 889
47 76 502
47 78 703
47 79 469
47 80 591
47 82 443
47 84 442
47 86 951
47 87 151
47 88 934
47 90 408
47 91 828
47 92 292
47 93 662
47 94 670
47 95 467
47 96 940
47 97 204
47 99 908
48 51 751
48 52 356
48 53 687
48 54 393
48 55 28
48 56 273
48 58 998
48 59 505
48 60 825
48 62 415
48 64 415
48 65 562
48 66 842
48 67 361
48 71 425
48 72 526
48 74 502
48 75 709
48 76 898
48 77 545
48 78 190
48 81 340
48 83 652
48 85 300
48 86 206
48 87 460
48 88 263
48 89 871
48 90 542
48 91 712
48 93 378
48 94 808
48 96 99
48 98 674
48 99 20
49 50 617
49 51 897
49 52 488
49 55 150
49 56 571
49 57 669
49 58 813
49 60 47
49 61 606
49 63 490
49 64 952
49 65 195
49 66 264
49 67 40
49 68 38
49 69 731
49 70 294
49 71 168
49 72 80
49 73 476
49 75 497
49 76 258
49 77 237
49 78 762
49 80 15
49 81 852
49 82 41
49 83 229
49 84 817
49 85 739
49 87 297
49 88 989
49 90 892
49 91 118
49 92 416
49 93 2
49 94 382
49 96 710
49 97 179
49 98 215
49 99 947
50 53 946
50 54 630
50 55 245
50 58 655
50 59 944
50 60 768
50 62 765
50 64 686
50 65 929
50 67 277
50 68 309
50 69 120
50 70 509
50 73 653
50 74 286
50 75 208
50 77 85
50 78 998
50 79 690
50 86 185
50 87 879
50 88 566
50 89 736
50 90 841
50 91 132
50 92 197
50 93 447
50 94 271
50 95 486
50 99 285
51 52 419
51 54 593
51 55 442
51 56 803
51 59 853
51 61 969
51 62 530
51 63 110
51 64 856
51 65 424
51 66 743
51 69 423
51 70 206
51 71 872
51 72 410
51 74 407
51 76 809
51 77 39
51 79 311
51 80 980
51 82 516
51 83 285
51 84 697
51 86 141
51 87 457
51 88 893
51 90 825
51 93 652
51 94 736
51 95 168
51 96 746
51 97 731
51 98 265
51 99 377
52 53 663
52 54 413
52 55 580
52 57 729
52 62 980
52 65 907
52 67 504
52 68 605
52 69 969
52 70 162
52 71 941
52 72 420
52 76 892
52 77 532
52 78 638
52 79 38
52 80 299
52 81 386
52 82 469
52 84 955
52 85 865
52 87 562
52 88 868
52 89 979
52 90 773
52 91 776
52 92 32
52 93 857
52 94 732
52 97 524
52 98 253
52 99 639
53 54 921
53 55 3
53 57 995
53 58 869
53 59 862
53 60 417
53 61 932
53 66 453
53 68 279
53 70 132
53 71 901
53 72 293
53 73 731
53 74 583
53 75 384
53 76 398
53 78 497
53 79 937
53 80 400
53 81 178
53 82 373
53 84 691
53 85 617
53 87 224
53 88 587
53 89 347
53 92 172
53 93 976
53 94 42
53 95 446
53 96 482
53 97 330
53 99 290
54 55 521
54 56 734
54 57 575
54 58 100
54 59 412
54 60 337
54 65 955
54 66 558
54 67 712
54 68 179
54 70 489
54 72 708
54 73 459
54 76 613
54 77 685
54 78 545
54 80 394
54 81 585
54 82 554
54 83 217
54 85 102
54 86 937
54 87 242
54 89 696
54 91 406
54 92 413
54 93 711
54 94 361
54 96 200
54 97 310
54 98 662
54 99 548
55 56 716
55 57 348
55 58 808
55 60 259
55 62 351
55 63 63
55 64 498
55 65 815
55 66 622
55 67 803
55 68 570
55 69 425
55 70 179
55 73 289
55 74 422
55 75 749
55 76 841
55 78 73
55 80 236
55 81 354
55 86 79
55 88 585
55 89 163
55 91 193
55 92 574
55 93 706
55 94 792
55 95 935
55 97 525
55 98 400
56 57 966
56 58 376
56 59 510
56 60 635
56 61 920
56 62 101
56 63 933
56 65 586
56 66 688
56 67 737
56 69 158
56 70 452
56 71 927
56 72 41
56 73 58
56 74 627
56 75 602
56 76 564
56 77 7
56 78 657
56 79 429
56 81 745
56 82 978
56 83 362
56 84 843
56 87 85
56 88 98
56 89 447
56 91 398
56 93 488
56 94 84
56 95 854
56 96 883
56 97 527
56 99 695
57 58 977
57 59 572
57 61 652
57 63 488
57 64 407
57 65 354
57 66 360
57 69 184
57 70 495
57 71 78
57 72 351
57 73 572
57 74 744
57 75 81
57 77 249
57 78 825
57 79 290
57 80 495
57 81 748
57 82 895
57 85 853
57 86 557
57 87 784
57 88 271
57 89 765
57 90 725
57 91 887
57 93 200
57 94 184
57 95 262
57 96 126
57 97 353
57 98 803
57 99 302
58 59 816
58 60 410
58 61 276
58 62 726
58 63 663
58 64 990
58 65 437
58 68 737
58 69 736
58 72 347
58 73 222
58 74 740
58 75 509
58 77 341
58 79 900
58 80 750
58 81 604
58 82 130
58 83 522
58 85 434
58 86 383
58 88 611
58 91 169
58 93 479
58 94 434
58 95 774
58 97 660
58 99 662
59 62 881
59 63 900
59 65 479
59 66 648
59 67 183
59 68 828
59 69 41
59 70 245
59 71 350
59 72 587
59 73 746
59 74 334
59 75 780
59 76 389
59 79 575
59 80 221
59 81 979
59 82 194
59 86 434
59 87 471
59 88 12
59 91 907
59 92 310
59 93 741
59 94 712
59 95 390
59 96 823
59 97 527
59 98 469
59 99 968
60 62 455
60 63 973
60 64 753
60 65 668
60 66 23
60 67 647
60 68 931
60 71 591
60 72 161
60 73 56
60 74 434
60 75 878
60 76 702
60 78 258
60 79 443
60 81 217
60 83 121
60 84 355
60 85 496
60 86 76
60 87 381
60 88 470
60 90 63
60 91 682
60 92 182
60 93 154
60 94 140
60 95 737
60 96 854
60 97 189
60 98 727
60 99 643
61 62 172
61 63 145
61 65 86
61 67 76
61 68 968
61 69 689
61 71 211
61 72 975
61 73 583
61 74 885
61 78 413
61 79 222
61 81 85
61 82 474
61 83 971
61 84 616
61 85 260
61 86 116
61 87 489
61 88 835
61 89 559
61 91 853
61 92 593
61 93 900
61 94 176
61 95 13
61 96 298
61 97 39
61 98 265
61 99 974
62 63 126
62 64 952
62 66 544
62 68 848
62 69 574
62 71 930
62 72 866
62 73 336
62 74 805
62 75 595
62 76 903
62 77 11
62 78 108
62 79 659
62 80 713
62 81 919
62 82 104
62 85 343
62 86 251
62 87 701
62 89 889
62 90 877
62 91 250
62 92 341
62 93 107
62 94 186
62 95 17
62 96 297
62 97 526
62 99 996
63 64 271
63 65 754
63 67 483
63 69 396
63 70 833
63 71 202
63 72 134
63 73 399
63 74 13
63 75 881
63 76 641
63 77 15
63 79 847
63 80 365
63 81 326
63 82 684
63 83 984
63 84 184
63 87 362
63 88 576
63 89 295
63 90 995
63 93 501
63 95 534
63 96 338
63 97 96
63 98 745
63 99 603
64 65 210
64 66 308
64 67 355
64 68 616
64 69 209
64 70 451
64 71 817
64 72 957
64 74 381
64 75 472
64 77 518
64 78 939
64 79 407
64 80 781
64 82 135
64 83 290
64 85 531
64 86 127
64 88 74
64 89 855
64 90 916
64 91 865
64 92 728
64 93 777
64 97 856
64 98 530
64 99 869
65 66 776
65 67 402
65 68 772
65 69 50
65 70 338
65 71 944
65 72 472
65 74 58
65 75 357
65 76 172
65 77 407
65 79 880
65 82 438
65 83 339
65 84 43
65 85 683
65 86 686
65 87 780
65 88 454
65 90 673
65 91 949
65 92 456
65 93 801
65 94 276
65 97 21
65 98 596
65 99 839
66 68 62
66 69 7
66 70 670
66 71 64
66 72 902
66 73 940
66 74 441
66 75 286
66 76 541
66 78 311
66 80 338
66 81 700
66 82 664
66 83 990
66 84 972
66 85 354
66 86 217
66 87 999
66 89 884
66 90 507
66 91 893
66 92 651
66 93 509
66 95 612
66 96 527
66 97 991
66 98 104
67 68 94
67 70 711
67 71 839
67 72 265
67 73 482
67 74 168
67 75 323
67 76 60
67 78 13
67 79 673
67 80 548
67 82 245
67 83 181
67 84 681
67 85 668
67 86 100
67 87 512
67 89 682
67 90 564
67 91 122
67 92 68
67 93 442
67 94 142
67 96 721
67 97 905
67 98 881
67 99 229
68 70 665
68 71 553
68 72 555
68 73 801
68 74 252
68 75 709
68 76 690
68 77 247
68 78 580
68 81 941
68 82 752
68 83 384
68 84 444
68 85 91
68 86 30
68 87 940
68 88 497
68 89 25
68 90 303
68 91 690
68 92 979
68 93 547
68 94 540
68 95 916
68 96 152
68 97 126
68 98 422
68 99 255
69 70 351
69 73 934
69 74 502
69 75 574
69 76 555
69 77 558
69 79 773
69 80 549
69 81 379
69 82 676
69 84 629
69 85 54
69 86 496
69 87 157
69 88 690
69 89 845
69 90 126
69 91 562
69 92 914
69 93 90
69 94 456
69 95 343
69 96 87
69 97 667
69 98 129
69 99 541
70 71 668
70 72 332
70 73 2
70 74 64
70 75 938
70 76 155
70 77 126
70 81 552
70 83 335
70 84 320
70 85 155
70 86 6
70 87 879
70 88 803
70 89 588
70 90 549
70 91 957
70 92 41
70 93 523
70 94 630
70 95 93
70 96 832
70 98 114
71 72 628
71 73 185
71 74 772
71 75 671
71 76 604
71 77 705
71 79 280
71 80 892
71 81 642
71 83 319
71 84 636
71 85 183
71 88 619
71 90 363
71 92 615
71 93 543
71 95 835
71 96 935
71 97 383
71 98 212
71 99 76
72 73 256
72 75 210
72 76 30
72 77 616
72 78 762
72 79 678
72 80 260
72 81 72
72 82 115
72 83 187
72 84 434
72 85 237
72 86 618
72 87 321
72 88 525
72 89 556
72 90 208
72 91 364
72 94 454
72 95 357
72 97 243
72 98 643
72 99 996
73 74 818
73 76 876
73 77 589
73 80 443
73 81 675
73 82 399
73 84 9
73 85 395
73 86 460
73 87 837
73 88 556
73 89 985
73 91 715
73 93 710
73 95 962
73 96 956
73 97 90
73 98 761
73 99 522
74 77 853
74 78 889
74 79 428
74 81 280
74 82 511
74 83 702
74 84 409
74 85 778
74 89 321
74 90 480
74 91 221
74 92 968
74 93 510
74 94 138
74 95 92
74 96 501
74 97 891
74 98 59
75 76 818
75 77 428
75 78 293
75 79 366
75 81 542
75 84 607
75 85 339
75 86 372
75 87 24
75 88 28
75 89 783
75 90 847
75 91 961
75 92 779
75 95 363
75 96 595
75 97 15
75 98 504
75 99 922
76 78 509
76 79 840
76 80 492
76 81 833
76 82 531
76 84 375
76 85 372
76 86 154
76 87 444
76 88 683
76 89 381
76 90 415
76 91 374
76 93 702
76 94 559
76 96 326
76 97 445
76 98 45
76 99 857
77 78 283
77 79 461
77 80 821
77 81 389
77 82 266
77 83 819
77 84 516
77 86 802
77 89 645
77 91 774
77 92 25
77 93 459
77 94 981
77 95 332
77 96 154
77 97 669
78 79 628
78 80 38
78 82 20
78 83 229
78 86 472
78 87 151
78 88 911
78 89 655
78 90 64
78 92 451
78 95 668
78 96 259
78 97 16
78 98 605
78 99 992
79 80 524
79 81 92
79 82 452
79 83 371
79 84 189
79 85 213
79 86 804
79 88 983
79 90 486
79 91 95
79 95 187
79 96 934
79 97 73
79 98 611
79 99 707
80 81 865
80 82 112
80 83 641
80 84 464
80 86 150
80 87 663
80 88 935
80 89 349
80 91 444
80 92 994
80 93 520
80 94 548
80 95 772
80 96 860
81 82 509
81 83 646
81 85 777
81 86 67
81 87 51
81 89 369
81 92 911
81 93 170
81 94 127
81 95 140
81 96 183
81 97 766
81 98 89
81 99 969
82 85 322
82 86 81
82 87 710
82 88 528
82 89 992
82 90 166
82 91 496
82 92 526
82 95 110
82 97 863
82 98 731
82 99 479
83 84 963
83 85 639
83 87 58
83 88 25
83 89 28
83 90 830
83 92 981
83 93 739
83 95 86
83 96 883
83 98 589
84 85 822
84 86 863
84 87 752
84 88 69
84 90 195
84 91 522
84 92 101
84 94 536
84 95 652
84 96 935
84 99 505
85 86 484
85 87 388
85 88 680
85 89 725
85 90 186
85 91 290
85 95 60
85 97 232
85 98 798
85 99 779
86 87 600
86 88 203
86 89 882
86 91 66
86 93 220
86 94 712
86 95 805
86 96 242
86 97 636
86 98 17
87 88 844
87 90 106
87 91 412
87 92 23
87 93 591
87 95 850
87 96 580
87 98 748
87 99 427
88 90 34
88 91 275
88 92 821
88 93 19
88 97 458
88 98 260
89 90 545
89 91 404
89 92 479
89 93 515
89 95 379
89 98 693
90 91 296
90 93 359
90 94 628
90 96 830
90 97 407
90 99 439
91 92 717
91 93 770
91 94 659
91 95 706
91 96 419
91 97 406
91 99 702
92 93 927
92 94 744
92 95 695
92 96 577
92 97 795
92 98 305
93 94 157
93 95 30
93 96 420
93 97 958
93 98 668
93 99 978
94 96 684
94 97 116
94 98 564
94 99 996
95 96 822
95 97 677
95 98 973
96 98 537
96 99 216
97 98 771
97 99 39
98 99 831
